,precision,recall,f1-score,support
accept_reservations,0.9411764705882353,0.8,0.8648648648648648,20.0
account_blocked,0.9473684210526315,0.9,0.9230769230769231,20.0
alarm,1.0,1.0,1.0,20.0
application_status,0.9523809523809523,1.0,0.975609756097561,20.0
apr,1.0,1.0,1.0,20.0
are_you_a_bot,1.0,1.0,1.0,20.0
balance,0.9473684210526315,0.9,0.9230769230769231,20.0
bill_balance,0.9473684210526315,0.9,0.9230769230769231,20.0
bill_due,1.0,1.0,1.0,20.0
book_flight,1.0,1.0,1.0,20.0
book_hotel,1.0,0.95,0.9743589743589743,20.0
calculator,0.9090909090909091,1.0,0.9523809523809523,20.0
calendar,1.0,0.95,0.9743589743589743,20.0
calendar_update,1.0,1.0,1.0,20.0
calories,0.8695652173913043,1.0,0.9302325581395349,20.0
cancel,1.0,1.0,1.0,20.0
cancel_reservation,1.0,0.9,0.9473684210526316,20.0
car_rental,1.0,1.0,1.0,20.0
card_declined,1.0,1.0,1.0,20.0
carry_on,1.0,1.0,1.0,20.0
change_accent,1.0,0.8,0.888888888888889,20.0
change_ai_name,0.9523809523809523,1.0,0.975609756097561,20.0
change_language,1.0,1.0,1.0,20.0
change_speed,1.0,1.0,1.0,20.0
change_user_name,0.8260869565217391,0.95,0.8837209302325583,20.0
change_volume,1.0,1.0,1.0,20.0
confirm_reservation,0.8260869565217391,0.95,0.8837209302325583,20.0
cook_time,1.0,1.0,1.0,20.0
credit_limit,0.9090909090909091,1.0,0.9523809523809523,20.0
credit_limit_change,0.9473684210526315,0.9,0.9230769230769231,20.0
credit_score,1.0,0.95,0.9743589743589743,20.0
current_location,0.8181818181818182,0.9,0.8571428571428572,20.0
damaged_card,1.0,1.0,1.0,20.0
date,0.95,0.95,0.9500000000000001,20.0
definition,1.0,1.0,1.0,20.0
direct_deposit,0.9523809523809523,1.0,0.975609756097561,20.0
directions,0.9090909090909091,1.0,0.9523809523809523,20.0
distance,0.9047619047619048,0.95,0.9268292682926829,20.0
do_you_have_pets,1.0,1.0,1.0,20.0
exchange_rate,1.0,1.0,1.0,20.0
expiration_date,1.0,0.95,0.9743589743589743,20.0
find_phone,0.9523809523809523,1.0,0.975609756097561,20.0
flight_status,1.0,1.0,1.0,20.0
flip_coin,1.0,1.0,1.0,20.0
food_last,1.0,1.0,1.0,20.0
freeze_account,0.9047619047619048,0.95,0.9268292682926829,20.0
fun_fact,1.0,1.0,1.0,20.0
gas,1.0,0.9,0.9473684210526316,20.0
gas_type,1.0,0.95,0.9743589743589743,20.0
goodbye,1.0,1.0,1.0,20.0
greeting,1.0,1.0,1.0,20.0
how_busy,0.9523809523809523,1.0,0.975609756097561,20.0
how_old_are_you,0.9523809523809523,1.0,0.975609756097561,20.0
improve_credit_score,1.0,1.0,1.0,20.0
income,0.9047619047619048,0.95,0.9268292682926829,20.0
ingredient_substitution,1.0,1.0,1.0,20.0
ingredients_list,0.8695652173913043,1.0,0.9302325581395349,20.0
insurance,1.0,0.95,0.9743589743589743,20.0
insurance_change,1.0,1.0,1.0,20.0
interest_rate,1.0,1.0,1.0,20.0
international_fees,1.0,1.0,1.0,20.0
international_visa,1.0,1.0,1.0,20.0
jump_start,1.0,1.0,1.0,20.0
last_maintenance,0.95,0.95,0.9500000000000001,20.0
lost_luggage,1.0,1.0,1.0,20.0
make_call,1.0,1.0,1.0,20.0
maybe,0.9523809523809523,1.0,0.975609756097561,20.0
meal_suggestion,1.0,1.0,1.0,20.0
meaning_of_life,1.0,0.95,0.9743589743589743,20.0
measurement_conversion,1.0,1.0,1.0,20.0
meeting_schedule,1.0,1.0,1.0,20.0
min_payment,1.0,1.0,1.0,20.0
mpg,0.9523809523809523,1.0,0.975609756097561,20.0
new_card,0.9473684210526315,0.9,0.9230769230769231,20.0
next_holiday,0.8695652173913043,1.0,0.9302325581395349,20.0
next_song,1.0,1.0,1.0,20.0
no,0.9523809523809523,1.0,0.975609756097561,20.0
nutrition_info,1.0,0.8,0.888888888888889,20.0
oil_change_how,1.0,0.95,0.9743589743589743,20.0
oil_change_when,0.8695652173913043,1.0,0.9302325581395349,20.0
order,0.9444444444444444,0.85,0.8947368421052632,20.0
order_checks,0.9523809523809523,1.0,0.975609756097561,20.0
order_status,1.0,0.9,0.9473684210526316,20.0
pay_bill,1.0,1.0,1.0,20.0
payday,1.0,0.85,0.9189189189189189,20.0
pin_change,0.9523809523809523,1.0,0.975609756097561,20.0
play_music,0.9523809523809523,1.0,0.975609756097561,20.0
plug_type,1.0,0.95,0.9743589743589743,20.0
pto_balance,0.95,0.95,0.9500000000000001,20.0
pto_request,0.9523809523809523,1.0,0.975609756097561,20.0
pto_request_status,0.9473684210526315,0.9,0.9230769230769231,20.0
pto_used,0.95,0.95,0.9500000000000001,20.0
recipe,1.0,0.9,0.9473684210526316,20.0
redeem_rewards,0.9523809523809523,1.0,0.975609756097561,20.0
reminder,1.0,0.8,0.888888888888889,20.0
reminder_update,0.95,0.95,0.9500000000000001,20.0
repeat,1.0,0.95,0.9743589743589743,20.0
replacement_card_duration,0.9523809523809523,1.0,0.975609756097561,20.0
report_fraud,0.9473684210526315,0.9,0.9230769230769231,20.0
report_lost_card,0.9090909090909091,1.0,0.9523809523809523,20.0
reset_settings,1.0,1.0,1.0,20.0
restaurant_reservation,0.7368421052631579,0.7,0.717948717948718,20.0
restaurant_reviews,1.0,1.0,1.0,20.0
restaurant_suggestion,0.9523809523809523,1.0,0.975609756097561,20.0
rewards_balance,0.9523809523809523,1.0,0.975609756097561,20.0
roll_dice,1.0,1.0,1.0,20.0
rollover_401k,1.0,1.0,1.0,20.0
routing,1.0,1.0,1.0,20.0
schedule_maintenance,1.0,0.95,0.9743589743589743,20.0
schedule_meeting,1.0,1.0,1.0,20.0
share_location,1.0,0.75,0.8571428571428571,20.0
shopping_list,0.9523809523809523,1.0,0.975609756097561,20.0
shopping_list_update,1.0,0.95,0.9743589743589743,20.0
smart_home,0.9523809523809523,1.0,0.975609756097561,20.0
spelling,1.0,1.0,1.0,20.0
spending_history,0.95,0.95,0.9500000000000001,20.0
sync_device,1.0,1.0,1.0,20.0
taxes,0.9090909090909091,1.0,0.9523809523809523,20.0
tell_joke,1.0,1.0,1.0,20.0
text,1.0,0.95,0.9743589743589743,20.0
thank_you,1.0,1.0,1.0,20.0
time,1.0,1.0,1.0,20.0
timer,1.0,1.0,1.0,20.0
timezone,1.0,1.0,1.0,20.0
tire_change,0.9523809523809523,1.0,0.975609756097561,20.0
tire_pressure,1.0,1.0,1.0,20.0
todo_list,0.8095238095238095,0.85,0.8292682926829269,20.0
todo_list_update,1.0,0.95,0.9743589743589743,20.0
traffic,1.0,1.0,1.0,20.0
transactions,0.8947368421052632,0.85,0.8717948717948718,20.0
transfer,0.8333333333333334,1.0,0.9090909090909091,20.0
translate,1.0,0.95,0.9743589743589743,20.0
travel_alert,1.0,1.0,1.0,20.0
travel_notification,1.0,1.0,1.0,20.0
travel_suggestion,1.0,0.9,0.9473684210526316,20.0
uber,1.0,1.0,1.0,20.0
update_playlist,1.0,0.95,0.9743589743589743,20.0
user_name,0.9444444444444444,0.85,0.8947368421052632,20.0
vaccines,1.0,1.0,1.0,20.0
w2,1.0,1.0,1.0,20.0
weather,0.9523809523809523,1.0,0.975609756097561,20.0
what_are_your_hobbies,1.0,0.95,0.9743589743589743,20.0
what_can_i_ask_you,0.7407407407407407,1.0,0.851063829787234,20.0
what_is_your_name,1.0,1.0,1.0,20.0
what_song,1.0,1.0,1.0,20.0
where_are_you_from,0.9473684210526315,0.9,0.9230769230769231,20.0
whisper_mode,1.0,1.0,1.0,20.0
who_do_you_work_for,1.0,1.0,1.0,20.0
who_made_you,0.95,0.95,0.9500000000000001,20.0
yes,1.0,0.9,0.9473684210526316,20.0
accuracy,0.9663333333333334,0.9663333333333334,0.9663333333333334,0.9663333333333334
macro avg,0.9685503094626351,0.9663333333333335,0.9662324965542662,3000.0
weighted avg,0.968550309462635,0.9663333333333334,0.9662324965542664,3000.0
